"sta6a","report_month","documented","not_documented"
"4369AA",2018-02-01,0,1
"4369AA",2018-03-01,0,0
"4369AA",2018-04-01,0,0
"4369AA",2018-05-01,1,1
"4369AA",2018-06-01,0,0
"4369AA",2018-07-01,2,0
"4429AA",2018-02-01,5,0
"4429AA",2018-03-01,2,0
"4429AA",2018-04-01,2,0
"4429AA",2018-05-01,3,0
"4429AA",2018-06-01,1,0
"4429AA",2018-07-01,1,0
"4609AA",2018-02-01,0,4
"4609AA",2018-03-01,0,1
"4609AA",2018-04-01,0,1
"4609AA",2018-05-01,0,1
"4609AA",2018-06-01,0,0
"4609AA",2018-07-01,0,4
"5039AA",2018-02-01,0,1
"5039AA",2018-03-01,0,1
"5039AA",2018-04-01,0,1
"5039AA",2018-05-01,1,3
"5039AA",2018-06-01,0,2
"5039AA",2018-07-01,2,2
"5069AA",2018-02-01,0,4
"5069AA",2018-03-01,5,0
"5069AA",2018-04-01,3,1
"5069AA",2018-05-01,3,0
"5069AA",2018-06-01,5,0
"5069AA",2018-07-01,5,1
"5129AA",2018-02-01,0,8
"5129AA",2018-03-01,0,8
"5129AA",2018-04-01,0,7
"5129AA",2018-05-01,5,9
"5129AA",2018-06-01,7,2
"5129AA",2018-07-01,4,1
"5129AC",2018-02-01,0,4
"5129AC",2018-03-01,0,5
"5129AC",2018-04-01,0,3
"5129AC",2018-05-01,5,2
"5129AC",2018-06-01,1,2
"5129AC",2018-07-01,3,1
"5159AA",2018-02-01,1,7
"5159AA",2018-03-01,0,8
"5159AA",2018-04-01,0,8
"5159AA",2018-05-01,2,4
"5159AA",2018-06-01,1,2
"5159AA",2018-07-01,2,1
"5299AA",2018-02-01,1,3
"5299AA",2018-03-01,0,5
"5299AA",2018-04-01,0,6
"5299AA",2018-05-01,1,3
"5299AA",2018-06-01,1,3
"5299AA",2018-07-01,2,3
"5429AA",2018-02-01,0,3
"5429AA",2018-03-01,1,6
"5429AA",2018-04-01,3,7
"5429AA",2018-05-01,8,3
"5429AA",2018-06-01,7,0
"5429AA",2018-07-01,8,0
"5509AA",2018-02-01,0,4
"5509AA",2018-03-01,3,5
"5509AA",2018-04-01,2,6
"5509AA",2018-05-01,3,9
"5509AA",2018-06-01,1,5
"5509AA",2018-07-01,0,5
"5539AA",2018-02-01,0,6
"5539AA",2018-03-01,0,7
"5539AA",2018-04-01,0,5
"5539AA",2018-05-01,0,11
"5539AA",2018-06-01,3,0
"5539AA",2018-07-01,5,0
"5549AB",2018-02-01,0,3
"5549AB",2018-03-01,0,0
"5549AB",2018-04-01,0,1
"5549AB",2018-05-01,0,1
"5549AB",2018-06-01,0,2
"5549AB",2018-07-01,0,0
"5569AA",2018-02-01,3,0
"5569AA",2018-03-01,3,0
"5569AA",2018-04-01,2,0
"5569AA",2018-05-01,2,0
"5569AA",2018-06-01,2,0
"5569AA",2018-07-01,3,0
"5629AA",2018-02-01,0,4
"5629AA",2018-03-01,0,1
"5629AA",2018-04-01,0,4
"5629AA",2018-05-01,0,6
"5629AA",2018-06-01,0,4
"5629AA",2018-07-01,0,1
"5689AA",2018-02-01,3,0
"5689AA",2018-03-01,5,0
"5689AA",2018-04-01,7,0
"5689AA",2018-05-01,5,0
"5689AA",2018-06-01,7,0
"5689AA",2018-07-01,3,1
"5689AB",2018-02-01,0,0
"5689AB",2018-03-01,1,0
"5689AB",2018-04-01,1,0
"5689AB",2018-05-01,0,0
"5689AB",2018-06-01,1,0
"5689AB",2018-07-01,1,0
"5759AA",2018-02-01,0,2
"5759AA",2018-03-01,0,6
"5759AA",2018-04-01,0,5
"5759AA",2018-05-01,0,5
"5759AA",2018-06-01,0,1
"5759AA",2018-07-01,0,6
"5959AA",2018-02-01,0,10
"5959AA",2018-03-01,0,8
"5959AA",2018-04-01,0,11
"5959AA",2018-05-01,7,5
"5959AA",2018-06-01,8,0
"5959AA",2018-07-01,10,0
"6079AA",2018-02-01,5,0
"6079AA",2018-03-01,10,0
"6079AA",2018-04-01,8,0
"6079AA",2018-05-01,10,1
"6079AA",2018-06-01,9,0
"6079AA",2018-07-01,8,0
"6109AA",2018-02-01,0,0
"6109AA",2018-03-01,0,0
"6109AA",2018-04-01,0,0
"6109AA",2018-05-01,1,0
"6109AA",2018-06-01,1,1
"6109AA",2018-07-01,2,1
"6309AB",2018-02-01,0,9
"6309AB",2018-03-01,0,8
"6309AB",2018-04-01,0,5
"6309AB",2018-05-01,3,3
"6309AB",2018-06-01,2,2
"6309AB",2018-07-01,4,2
"6359AA",2018-02-01,0,22
"6359AA",2018-03-01,0,21
"6359AA",2018-04-01,10,9
"6359AA",2018-05-01,9,10
"6359AA",2018-06-01,13,3
"6359AA",2018-07-01,7,6
"6429AA",2018-02-01,0,14
"6429AA",2018-03-01,0,13
"6429AA",2018-04-01,1,2
"6429AA",2018-05-01,1,6
"6429AA",2018-06-01,4,4
"6429AA",2018-07-01,7,0
"6559AA",2018-02-01,0,5
"6559AA",2018-03-01,1,9
"6559AA",2018-04-01,1,5
"6559AA",2018-05-01,1,4
"6559AA",2018-06-01,0,4
"6559AA",2018-07-01,8,1
"6669AA",2018-02-01,0,3
"6669AA",2018-03-01,0,1
"6669AA",2018-04-01,0,3
"6669AA",2018-05-01,0,2
"6669AA",2018-06-01,0,1
"6669AA",2018-07-01,0,3
"6939AA",2018-02-01,6,0
"6939AA",2018-03-01,6,0
"6939AA",2018-04-01,8,0
"6939AA",2018-05-01,8,0
"6939AA",2018-06-01,5,0
"6939AA",2018-07-01,10,0
