Measure_Name,Staff_Number,Month,Passed_Count,Denominator
PUL03,20004,2017-07-01,33,33
PUL03,20004,2017-08-01,14,14
PUL03,20004,2017-09-01,33,33
PUL03,20004,2017-10-01,40,42
PUL03,20004,2017-11-01,23,23
PUL03,20014,2017-07-01,42,44
PUL03,20014,2017-08-01,48,48
PUL03,20014,2017-09-01,50,52
PUL03,20014,2017-10-01,51,52
PUL03,20014,2017-11-01,24,25
PUL03,20014,2017-12-01,50,54
PUL03,20015,2017-08-01,15,15
PUL03,20015,2017-09-01,22,22
PUL03,20015,2017-10-01,24,24
PUL03,20015,2017-11-01,18,18
PUL03,20015,2017-12-01,22,24
PUL03,20017,2017-07-01,26,30
PUL03,20017,2017-08-01,13,14
PUL03,20017,2017-09-01,18,19
PUL03,20017,2017-10-01,21,24
PUL03,20017,2017-11-01,17,22
PUL03,20017,2017-12-01,27,28
PUL03,20019,2017-09-01,22,23
PUL03,20019,2017-10-01,9,10
PUL03,20027,2017-07-01,36,36
PUL03,20027,2017-08-01,94,94
PUL03,20027,2017-09-01,84,87
PUL03,20027,2017-10-01,48,48
PUL03,20027,2017-11-01,76,87
PUL03,20027,2017-12-01,67,76
PUL03,20029,2017-07-01,16,16
PUL03,20029,2017-08-01,28,32
PUL03,20029,2017-09-01,17,17
PUL03,20029,2017-10-01,20,21
PUL03,20029,2017-11-01,16,19
PUL03,20029,2017-12-01,23,24
PUL03,20036,2017-07-01,24,25
PUL03,20036,2017-08-01,40,44
PUL03,20036,2017-09-01,16,17
PUL03,20036,2017-10-01,35,39
PUL03,20036,2017-11-01,23,26
PUL03,20036,2017-12-01,13,14
PUL03,20045,2017-07-01,18,18
PUL03,20045,2017-08-01,26,27
PUL03,20045,2017-09-01,15,15
PUL03,20045,2017-10-01,45,47
PUL03,20045,2017-11-01,36,39
PUL03,20045,2017-12-01,37,37
PUL03,20052,2017-07-01,11,11
PUL03,20052,2017-08-01,25,25
PUL03,20052,2017-09-01,22,22
PUL03,20052,2017-10-01,18,18
PUL03,20052,2017-11-01,12,14
PUL03,20052,2017-12-01,17,17
PUL03,20058,2017-07-01,15,15
PUL03,20058,2017-08-01,18,18
